year,row_sector,bt_all,exporter_num,importer_num,sector
2006,G,59446.76,8,2,1
2006,L,14513.67,8,2,2
2006,H,3746.15,8,2,3
2007,G,76758.57,8,2,1
2007,L,18753.64,8,2,2
2007,H,3631.53,8,2,3
2008,G,110523.99,8,2,1
2008,L,24173.16,8,2,2
2008,H,5045.98,8,2,3
2009,G,76649.30,8,2,1
2009,L,23376.39,8,2,2
2009,H,5448.14,8,2,3
2010,G,105047.03,8,2,1
2010,L,32305.51,8,2,2
2010,H,7428.13,8,2,3
2011,G,128084.83,8,2,1
2011,L,39550.99,8,2,2
2011,H,9343.50,8,2,3
1995,G,11201.42,9,2,1
1995,L,332.43,9,2,2
1995,H,201.79,9,2,3
1996,G,10554.84,9,2,1
1996,L,411.06,9,2,2
1996,H,170.96,9,2,3
1997,G,13937.38,9,2,1
1997,L,550.69,9,2,2
1997,H,217.05,9,2,3
1998,G,11791.19,9,2,1
1998,L,552.59,9,2,2
1998,H,192.76,9,2,3
1999,G,9205.45,9,2,1
1999,L,410.61,9,2,2
1999,H,134.61,9,2,3
2000,G,10733.63,9,2,1
2000,L,652.43,9,2,2
2000,H,154.73,9,2,3
2001,G,10406.95,9,2,1
2001,L,709.65,9,2,2
2001,H,302.62,9,2,3
2002,G,8084.69,9,2,1
