iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
JPN,2010,.753017769169495,.1829783480094897,.0640038828210153,.3923281309676716,.408763939823952,.1989079292083765,.2657098545429481,.3833450861580056,.3509450592990462
JPN,2011,.7477381670443258,.1870838726908559,.0651779602648183,.3835263231066638,.4137680417869216,.2027056351064146,.2554762842903677,.3868285575874628,.3576951581221696
MEX,1995,.8370783332992797,.1272307968338931,.0356908698668271,.5522367593738476,.3369819282183651,.1107813124077872,.3637790437656719,.4118807629230925,.2243401933112356
MEX,1996,.8460874032902075,.1227297236570916,.0311828730527009,.5739426722403208,.3275299222462388,.0985274055134404,.3840326454394462,.409218149970168,.2067492045903857
MEX,1997,.8443313944909433,.1239588155032727,.0317097900057841,.5755274051480501,.3251632738612113,.0993093209907387,.3767334323023531,.4083216990121683,.2149448686854787
MEX,1998,.8387096127721922,.1279823611476755,.0333080260801323,.5556873533407602,.3417460816175099,.1025665650417299,.3558467379139512,.4249480505367197,.2192052115493291
MEX,1999,.8337550096125734,.1316472746123593,.0345977157750672,.5450158447914372,.3528090582211095,.1021750969874533,.344887146567874,.4393405163638002,.2157723370683257
MEX,2000,.8271599513410994,.1384455561127591,.0343944925461415,.5469236691928865,.3548361602681944,.0982401705389191,.3523362467828556,.4402995442635871,.2073642089535573
MEX,2001,.8183222055357564,.143994242733094,.0376835517311495,.524997219737222,.3687336172102185,.1062691630525594,.3316128737815721,.4482683356874581,.2201187905309699
MEX,2002,.8235121940575715,.1388465955332256,.0376412104092028,.5318626735046122,.3604925830859947,.1076447434093931,.3413138167089577,.4384648692714026,.2202213140196397
MEX,2003,.8207388721475531,.1411998923348563,.0380612355175905,.5306832359410437,.3622915429466728,.1070252211122836,.3485507781405779,.4274289541291281,.224020267730294
MEX,2004,.8272905847766105,.1361738086988918,.0365356065244976,.5428360959039029,.3517562688085136,.1054076352875835,.3597729307929411,.4135955091045436,.2266315601025152
MEX,2005,.8233005830389624,.1405056688574822,.0361937481035555,.5421546526558214,.3552506661434431,.1025946812007355,.3758852349148208,.4134039357403741,.2107108293448051
MEX,2006,.8248380857365131,.1404576727713197,.0347042414921672,.5423617454965043,.3549286757637788,.1027095787397169,.3685633924039361,.4124510102533708,.2189855973426932
MEX,2007,.8246176702266289,.1404768547059721,.0349054750673992,.5387118071070475,.3581435999462628,.1031445929466898,.3627894559517282,.4190899466600876,.2181205973881842
MEX,2008,.8208913066578422,.1448017824283853,.0343069109137725,.5365318763317989,.3613401843919681,.1021279392762332,.3671083976372914,.4128668111611178,.220024791201591
MEX,2009,.8226603857682291,.1400576314485474,.0372819827832235,.5376706352880881,.3521669963654116,.1101623683465003,.3665446730519944,.4061819385556937,.2272733883923118
MEX,2010,.8197204891867877,.144213173981894,.0360663368313183,.5355098797669914,.3597648493577046,.104725270875304,.3507413293990579,.4242396993920903,.2250189712088516
MEX,2011,.8195496845813699,.1457737589425719,.0346765564760583,.5403550133023355,.3574759770288466,.102169009668818,.3496558382928196,.4246452689001821,.2256988928069983
RoW,1995,.7636206419398907,.1809718023011146,.0554075557589946,.4511686467168691,.4103853927891272,.1384459604940037,.322668549476268,.3701533022853088,.3071781482384233
RoW,1996,.7596023590181559,.1850946816420884,.0553029593397557,.447237436857836,.4158438924920598,.1369186706501044,.3139878037711759,.3700741356534297,.3159380605753945
RoW,1997,.7576300867968792,.184851633922508,.0575182792806129,.4421143397266332,.4170850224746379,.140800637798729,.3096362223894651,.3693554072800367,.3210083703304982
RoW,1998,.7493585324380919,.1897070316869036,.0609344358750045,.4323893834101065,.4228426300707362,.1447679865191573,.2959756498698192,.3750570030898402,.3289673470403405
RoW,1999,.7512291355598492,.1873056881136188,.061465176326532,.4332075205662883,.4208929162336078,.1458995632001039,.2955587392221793,.372071683387507,.3323695773903137
RoW,2000,.7544720786590179,.1857675947793307,.0597603265616515,.436800819949549,.4183997478460688,.1447994322043823,.2979645632372604,.3696750659310128,.3323603708317268
RoW,2001,.7460569855668036,.1918818972178583,.0620611172153382,.4330868637321778,.4220809605767362,.1448321756910861,.289177687700241,.3711644862999702,.3396578259997889
RoW,2002,.7458691781124936,.1934906617734911,.0606401601140152,.4289181544934694,.4283835072602695,.1426983382462611,.2815991199419891,.3792684477519969,.3391324323060142
RoW,2003,.7440583538713044,.1957591456257949,.0601825005029007,.4214700022930223,.4378610036437482,.1406689940632293,.2799425980374354,.3786882332872326,.3413691686753322
RoW,2004,.7477690647598653,.192420556125244,.0598103791148906,.4184167556639442,.4398515441698023,.1417317001662535,.2733347055941306,.3796683784170822,.3469969159887871
RoW,2005,.7480310270840397,.1921182848087307,.0598506881072296,.4149778710078914,.4410754276628336,.143946701329275,.2650699529684694,.3702415914988122,.3646884555327184
RoW,2006,.7491766468589497,.1917267070691732,.0590966460718772,.413444301476072,.4427732161548906,.1437824823690373,.2624055863303074,.365781126498873,.3718132871708197
RoW,2007,.7505991627103518,.1896969938071798,.0597038434824686,.4120967905966316,.4429773748690834,.144925834534285,.2633222722209463,.3603928463093503,.3762848814697035
RoW,2008,.7487173085858336,.1924524929379986,.0588301984761677,.4168420496370318,.4407209502970711,.1424370000658969,.265866650368151,.3632828520575411,.3708504975743078
RoW,2009,.7401082469195883,.1969561960090208,.0629355570713909,.4088065248136725,.4438734987276874,.1473199764586401,.2604317635723297,.3664676288499644,.3731006075777061
RoW,2010,.7501782795063674,.190647492360121,.0591742281335116,.4180682380731812,.4384211145827991,.1435106473440197,.2674759386773034,.3670338028282522,.3654902584944444
RoW,2011,.7522661348869994,.1895841941327361,.0581496709802646,.424282851889733,.4338621306865989,.1418550174236681,.2711090200690319,.3684910401731327,.3603999397578354
USA,1995,.7192775729148345,.2166080842139606,.0641143428712049,.3364231134312996,.4714491534408071,.1921277331278934,.2465113374114805,.3795848224797119,.3739038401088077
USA,1996,.7176236629339471,.2165442696603164,.0658320674057365,.3296533842812693,.4699186149735813,.2004280007451494,.2445955703375726,.3714711621192395,.3839332675431878
USA,1997,.7209457327518045,.212533849070302,.0665204181778935,.3304375142966283,.4635621517781852,.2060003339251865,.2479250167027069,.3619415407834864,.3901334425138067
